DriverNumber,Driver,TeamName,GridPosition,FinishPosition,Points,Status,Laps,Year,Race,avg_temp,avg_rainfall,is_wet_race,DNF
81,PIA,McLaren,6.0,8.0,4.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
44,HAM,Mercedes,7.0,9.0,2.0,Finished,53.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,0
22,TSU,RB,10.0,10.0,1.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
27,HUL,Haas F1 Team,12.0,11.0,0.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
18,STR,Aston Martin,16.0,12.0,0.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
20,MAG,Haas F1 Team,18.0,13.0,0.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
77,BOT,Kick Sauber,13.0,14.0,0.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
31,OCO,Alpine,15.0,15.0,0.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
10,GAS,Alpine,17.0,16.0,0.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
2,SAR,Williams,19.0,17.0,0.0,Lapped,52.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
24,ZHO,Kick Sauber,20.0,18.0,0.0,Retired,12.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
3,RIC,RB,11.0,19.0,0.0,Retired,0.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
23,ALB,Williams,14.0,20.0,0.0,Retired,0.0,2024,Japanese Grand Prix,21.691160220994476,0.0,0,1
1,VER,Red Bull Racing,1.0,1.0,25.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
4,NOR,McLaren,4.0,2.0,18.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
11,PER,Red Bull Racing,2.0,3.0,15.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
16,LEC,Ferrari,6.0,4.0,12.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
55,SAI,Ferrari,7.0,5.0,10.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
63,RUS,Mercedes,8.0,6.0,8.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
14,ALO,Aston Martin,3.0,7.0,7.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
81,PIA,McLaren,5.0,8.0,4.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
44,HAM,Mercedes,18.0,9.0,2.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
27,HUL,Haas F1 Team,9.0,10.0,1.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
31,OCO,Alpine,13.0,11.0,0.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
23,ALB,Williams,14.0,12.0,0.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
10,GAS,Alpine,15.0,13.0,0.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
24,ZHO,Kick Sauber,16.0,14.0,0.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
18,STR,Aston Martin,11.0,15.0,0.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
20,MAG,Haas F1 Team,17.0,16.0,0.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
2,SAR,Williams,20.0,17.0,0.0,Finished,56.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,0
3,RIC,RB,12.0,18.0,0.0,Retired,33.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,1
22,TSU,RB,19.0,19.0,0.0,Retired,26.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,1
77,BOT,Kick Sauber,10.0,20.0,0.0,Retired,19.0,2024,Chinese Grand Prix,18.63939393939394,0.0,0,1
4,NOR,McLaren,5.0,1.0,25.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
1,VER,Red Bull Racing,1.0,2.0,18.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
16,LEC,Ferrari,2.0,3.0,15.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
11,PER,Red Bull Racing,4.0,4.0,12.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
55,SAI,Ferrari,3.0,5.0,10.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
